"","Casualty.Class","Casualty.Severity","Type.of.Vehicle","Weather.Conditions","Age.of.Casualty","missing"
"731",1,3,9,1,36,1
"732",2,3,9,1,19,1
"733",2,3,9,1,15,1
"734",1,2,9,1,49,1
"735",2,2,9,1,28,1
"736",1,3,9,1,58,1
"737",1,3,9,1,45,1
"738",2,3,9,1,30,1
"739",2,3,9,1,24,1
"740",3,3,9,1,32,1
"741",1,3,17,1,28,1
"742",1,3,9,2,37,1
"743",2,3,9,2,36,1
"744",1,3,9,2,26,1
"745",3,2,9,2,60,1
"746",1,3,9,1,85,1
"747",1,1,9,1,30,1
"748",2,1,9,1,26,1
"749",2,3,11,1,65,1
"750",3,3,8,1,61,1
"751",3,3,9,1,55,1
"752",2,3,9,1,9,1
"753",1,2,9,1,28,1
"754",2,2,9,1,19,1
"755",1,3,9,1,35,1
"756",1,3,5,1,47,1
"757",1,3,1,1,14,1
"758",1,3,1,1,52,1
"759",1,3,1,1,60,1
"760",1,3,1,1,14,1
"761",1,3,9,1,52,1
"762",2,3,9,1,55,1
"763",3,3,9,1,1,1
"764",1,3,9,1,26,1
"765",1,3,1,1,55,1
"766",1,3,9,1,63,1
"767",3,3,9,1,11,1
"768",1,3,9,1,56,1
"769",3,3,19,1,19,1
"770",1,3,2,2,16,1
"771",1,3,9,1,55,1
"772",1,2,1,1,37,1
"773",1,1,9,1,18,1
"774",2,3,9,1,72,1
"775",3,3,9,1,24,1
"776",1,3,9,1,18,1
"777",3,3,9,1,43,1
"778",2,3,9,8,11,1
"779",3,3,9,1,35,1
"780",1,3,1,1,51,1
"781",3,3,9,1,13,1
"782",1,3,9,1,23,1
"783",1,3,3,1,23,1
"784",3,3,10,1,5,1
"785",1,3,9,1,28,1
"786",2,3,9,1,62,1
"787",1,3,9,1,54,1
"788",2,3,9,1,48,1
"789",1,3,19,1,38,1
"790",2,3,9,1,29,1
"791",2,3,9,1,25,1
"792",1,3,9,1,86,1
"793",1,3,9,1,22,1
"794",2,3,9,1,24,1
"795",3,3,9,2,51,1
"796",1,3,9,1,48,1
"797",2,3,9,1,10,1
"798",2,3,9,1,32,1
"799",2,3,8,1,20,1
"800",1,3,9,1,72,1
"801",1,3,9,1,78,1
"802",1,2,1,1,46,1
"803",1,3,9,1,79,1
"804",1,3,9,1,49,1
"805",1,3,4,1,33,1
"806",2,3,9,1,34,0
"807",1,3,9,1,20,1
"808",3,3,9,1,40,1
